Control_Flu,Status,Age,Count
Control,Domestic,0-19,16
Control,Domestic,20-39,3
Control,Domestic,40-59,8
Control,Domestic,60+,3
Control,Gen1,0-19,2
Control,Gen1,20-39,10
Control,Gen1,40-59,22
Control,Gen1,60+,18
Control,Gen2,0-19,37
Control,Gen2,20-39,7
Control,Gen2,40-59,12
Control,Gen2,60+,7
Flu,Domestic,0-19,23
Flu,Domestic,20-39,17
Flu,Domestic,40-59,13
Flu,Domestic,60+,9
Flu,Gen1,0-19,1
Flu,Gen1,20-39,40
Flu,Gen1,40-59,16
Flu,Gen1,60+,33
Flu,Gen2,0-19,40
Flu,Gen2,20-39,28
Flu,Gen2,40-59,18
Flu,Gen2,60+,7
